Номер,Наименование перевозчика,Номер маршрута,"Марка, модель автобуса",Тип вместимости (ОБ БВ СВ),Год выпуска автобуса,Класс экологической безопасности,Государственный регистрационный знак
1,"ООО ""АвтоЛайн""",68,НЕФАЗ 5299,БВ,2010,Евро 3,С 228 ОВ 178
2,"ООО ""АвтоЛайн""",68,НЕФАЗ 5299,БВ,2010,Евро 3,С 232 ОВ 178
3,"ООО ""АвтоЛайн""",68,НЕФАЗ 5299,БВ,2010,Евро 3,С 233 ОВ 178
4,"ООО ""АвтоЛайн""",68,НЕФАЗ 5299,БВ,2010,Евро 3,С 230 ОВ 178
5,"ООО ""АвтоЛайн""",68,НЕФАЗ 5299,БВ,2010,Евро 3,С 234 ОВ 178
6,"ООО ""АвтоЛайн""",68,НЕФАЗ 5299,БВ,2010,Евро 3,С 227 ОВ 178
7,"ООО ""АвтоЛайн""",68,НЕФАЗ 5299,БВ,2010,Евро 3,С 231 ОВ 178
8,"ООО ""АвтоЛайн""",68,НЕФАЗ 5299,БВ,2010,Евро 3,С 229 ОВ 178
9,"ООО ""АвтоЛайн""",68,НЕФАЗ 5299,БВ,2007,Евро 3,В 576 СЕ 178
10,"ООО ""АвтоЛайн""",К-130,VOLKSWAGEN CRAFTER,СВ,2010,Евро 4,В 214 ВВ 178
11,"ООО ""АвтоЛайн""",К-130,VOLKSWAGEN CRAFTER,СВ,2010,Евро 4,В 216 ВВ 178
12,"ООО ""АвтоЛайн""",резерв,VOLKSWAGEN CRAFTER,СВ,2010,Евро 4,В 217 ВВ 178
13,"ООО ""АвтоЛайн""",К-130,VOLKSWAGEN CRAFTER,СВ,2011,Евро 4,В 218 ВВ 178
14,"ООО ""АвтоЛайн""",К-130,VOLKSWAGEN CRAFTER,СВ,2012,Евро 4,В 219 ВВ 178
15,"ООО ""АвтоЛайн""",К-130,VOLKSWAGEN CRAFTER,СВ,2012,Евро 4,В 220 ВВ 178
16,"ООО ""АвтоЛайн""",К-130,VOLKSWAGEN CRAFTER,СВ,2013,Евро 4,В 221 ВВ 178
17,"ООО ""АвтоЛайн""",К-130,VOLKSWAGEN CRAFTER,СВ,2013,Евро 4,В 223 ВВ 178
18,"ООО ""АвтоЛайн""",К-130,VOLKSWAGEN CRAFTER,СВ,2013,Евро 4,В 224 ВВ 178
