Идентификатор маршрута,Сокращенное наименование маршрута,Наименование маршрута,Тип маршрута,Тип транспорта,Круговой маршрут,Городской/Пригородный,Ночной
3260,1,ПРИМОРСКАЯ ЛИНИЯ,4,Аквабус,0,1,0
3261,2,КУРОРТНАЯ ЛИНИЯ,4,Аквабус,0,1,0
3259,3,НЕВСКАЯ ЛИНИЯ,4,Аквабус,0,1,0
3262,4,ЦЕНТРАЛЬНАЯ ЛИНИЯ,4,Аквабус,0,1,0
3343,1БО,Приморская линия (БО Ритм),4,Аквабус,0,1,0
3812,193,"АС ""СЧАСТЛИВАЯ УЛ."" - ГЕОЛОГИЧЕСКАЯ УЛ.",3,Автобус,0,1,0
3830,191/,"Р.Оккервиль - СТ.Метро""ПЕТРОГРАДСКАЯ""",3,Автобус,0,1,0
3850,7/,МОСКОВСКИЙ ВОКЗАЛ - Исаакиевская пл.,3,Автобус,0,1,0
3851,10/,"А.С.""КРЕСТОВСКИЙ ОСТРОВ"" - БАЛТИЙСКИЙ ВОКЗАЛ",3,Автобус,0,1,0
3857,С-1,"СТ.М.""ДЕВЯТКИНО""-СТ.М.""ПР.ВЕТЕРАНОВ""",3,Автобус,0,1,0
3862,С-2,"СТ. М. ""КУПЧИНО"" - СТ. М. ""ПАРНАС""",3,Автобус,0,1,0
3916,8 А,"Уткина Заводь- ст. метро ""Ломоносовская""",3,Автобус,0,1,0
3918,351Б,"Г. ПЕТРОДВОРЕЦ, ВОКЗАЛ - Ж.-Д. СТ. СТАРЫЙ ПЕТЕРГОФ",3,Автобус,0,1,0
3995,А-2,"Петродворец, Университет - Ст. м. ""Пр. Ветеранов""",3,Автобус,0,1,0
4055,194,"ООО ""Хендэ Мотор  Мануфактуринг Рус"" - ст. метро ""Комендантский пр.""",3,Автобус,0,1,0
4075,2/,Театральная пл. - пл. Стачек.,3,Автобус,0,1,0
4095,385,"«г.Пушкин, Оранжерейная ул. – пос. Шушары, Вишерская ул.»  ",3,Автобус,0,1,0
4395,47А,"А.С.УЛ. ""ШАВРОВА"" - СТ. МЕТРО ""ПИОНЕРСКАЯ""",3,Автобус,0,0,0
4159,217,"СЕСТРОРЕЦК, КУРОРТНАЯ УЛ. - СОЛНЕЧНОЕ -2",3,Автобус,0,1,0
223,138,"СТ.МЕТРО ""ПЛОЩАДЬ МУЖЕСТВА"" - КРЕМАТОРИЙ",3,Автобус,0,1,0
224,136,"АВТОБУСНАЯ СТАНЦИЯ ""РУЧЬИ"" - ПЛ. РАСТРЕЛЛИ",3,Автобус,0,1,0
225,22,УЛ. СТАСОВОЙ - ДВИНСКАЯ УЛ.,3,Автобус,0,1,0
226,137,"АВТОБУСНАЯ СТАНЦИЯ ""ПИСКАРЁВКА"" - СТ. МЕТРО ""ЧЁРНАЯ РЕЧКА""",3,Автобус,0,1,0
241,174,БЕЛОРУССКАЯ УЛ. - ГРАНИТНАЯ УЛ.,3,Автобус,0,1,0
234,102,"АВТОБУСНАЯ СТАНЦИЯ ""ПР. КУЛЬТУРЫ""-ХАСАНСКАЯ УЛ., ТК ""ЛЕНТА""",3,Автобус,0,1,0
240,153,"АВТОБУСНАЯ СТАНЦИЯ ""ПР. КУЛЬТУРЫ"" - ХАСАНСКАЯ УЛ., ТК ""ЛЕНТА""",3,Автобус,0,1,0
228,15,БЕЛОРУССКАЯ УЛ. - ПЛ. ВОССТАНИЯ,3,Автобус,0,1,0
231,30,"СТ.МЕТРО ""ЛАДОЖСКАЯ""-РЯБОВСКОЕ ШОССЕ, 117",3,Автобус,0,1,0
233,77,"БЕЛОРУССКАЯ УЛ. - СТ. МЕТРО ""ЛАДОЖСКАЯ""",3,Автобус,0,1,0
237,123,"АС ""УЛ. ЖЕНИ ЕГОРОВОЙ"" - СТ.МЕТРО ""ЛАДОЖСКАЯ""",3,Автобус,0,1,0
229,24,"ХАСАНСКАЯ УЛ. - СТ. МЕТРО ""ВАСИЛЕОСТРОВСКАЯ""",3,Автобус,0,1,0
236,107,"АВТОБУСНАЯ СТАНЦИЯ ""ПИСКАРЁВКА"" - ФИНЛЯНДСКИЙ ВОКЗАЛ",3,Автобус,0,1,0
238,132,"АВТОБУСНАЯ СТАНЦИЯ ""РУЧЬИ"" - СТ. МЕТРО ""ПЛОЩАДЬ АЛЕКСАНДРА НЕВСКОГО""",3,Автобус,0,1,0
239,133,"Ж.-Д. СТАНЦИЯ ""РУЧЬИ"" - ФИНЛЯНДСКИЙ ВОКЗАЛ",3,Автобус,0,1,0
242,469,"САНКТ-ПЕТЕРБУРГ, СТ. МЕТРО ""УЛИЦА ДЫБЕНКО"" - САДОВОДСТВО ""ВОСХОД-1""",3,Автобус,0,0,0
243,485,"САНКТ-ПЕТЕРБУРГ, СТ. МЕТРО ""УЛИЦА ДЫБЕНКО"" - САД-ВО ""СЕВЕРНАЯ САМАРКА"" (ЧЕРЕЗ РАЗМЕТЕЛЕВО)",3,Автобус,0,0,0
221,103,"АВТОБУСНАЯ СТАНЦИЯ ""ПР. КУЛЬТУРЫ"" - УЛ. КОММУНЫ",3,Автобус,0,1,0
235,106,"АВТОБУСНАЯ СТАНЦИЯ ""ПИСКАРЕВКА"" - ФИНЛЯНДСКИЙ ВОКЗАЛ",3,Автобус,0,1,0
230,27,БЕЛОРУССКАЯ УЛ. - ТЕАТРАЛЬНАЯ ПЛ.,3,Автобус,0,1,0
232,33,"АВТОБУСНАЯ СТАНЦИЯ ""ПИСКАРЁВКА"" - СТ. МЕТРО ""ЧЁРНАЯ РЕЧКА""",3,Автобус,0,1,0
324,85,"ГЛУХАРСКАЯ УЛ. - СТАНЦИЯ МЕТРО ""ОЗЕРКИ""",3,Автобус,0,1,0
336,178,"АВТОБУСНАЯ СТАНЦИЯ ""ПР. КУЛЬТУРЫ"" - АВТОБУСНАЯ СТАНЦИЯ ""ПИСКАРЕВКА""",3,Автобус,0,1,0
368,119,"УТКИНА ЗАВОДЬ - СТ. МЕТРО ""ЛОМОНОСОВСКАЯ""",3,Автобус,0,1,0
370,65,ДВИНСКАЯ УЛ. - МОСКОВСКИЙ ВОКЗАЛ,3,Автобус,0,1,0
385,12,УЛ. ПОДВОЙСКОГО - РОЩИНСКАЯ УЛ.,3,Автобус,0,1,0
388,118,ПР. АЛЕКСАНДРОВСКОЙ ФЕРМЫ - УЛ. КОЛЛОНТАЙ,3,Автобус,0,1,0
264,177,"АВТОБУСНАЯ СТАНЦИЯ ""РУЧЬИ"" - ДЕРЕВНЯ НОВАЯ",3,Автобус,0,1,0
304,113,"СТ. МЕТРО ""ПАРНАС"" - 3-Й ВЕРХНИЙ ПЕР., 5",3,Автобус,0,1,0
305,1,НАЛИЧНАЯ УЛ. - БЕЛООСТРОВСКАЯ УЛ.,3,Автобус,0,1,0
306,6,УЛ. КОРАБЛЕСТРОИТЕЛЕЙ - ПЛ.СТАЧЕК,3,Автобус,0,1,0
328,171,"КОЛОМЯГИ, НОВОНИКИТИНСКАЯ УЛ. - СТ. МЕТРО КОМЕНДАНТСКИЙ ПР.",3,Автобус,0,1,0
335,143,"АВТОБУСНАЯ СТАНЦИЯ ""УЛ. ЖЕНИ ЕГОРОВОЙ"" - СТ. МЕТРО ""ПОЛИТЕХНИЧЕСКАЯ""",3,Автобус,0,1,0
